architecture,workload,phase,status,makespan,payload_bytes_per_cycle,p99,bank_utilization,rmw,hol,buffer_bits,switch_proxy_bits,run_dir
B8_G64_xor3,xor_adversary,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_xor3-xor_adversary-2ffb69c36c7b1e67
B8_G128_modulo0,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_modulo0-stream-af980cbf1ee2fdc3
B8_G128_modulo0,stride,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G128_modulo0-stride-fbaae68d5c2f508f
B8_G128_modulo0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G128_modulo0-xor_adversary-e8c36789143f862f
B8_G128_xor0,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_xor0-stream-9540db8b5d611d5c
B8_G128_xor0,stride,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G128_xor0-stride-37fa7086606ac27f
B8_G128_xor0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G128_xor0-xor_adversary-4270a651b5d54ecb
B8_G128_xor1,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_xor1-stream-440c6a020c2b9e44
B8_G128_xor1,stride,mapping,PASS,27,585.143,14,0.571429,0,0,3055616,132608,runs/mapping-B8_G128_xor1-stride-95c894a2288c2d02
B8_G128_xor1,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G128_xor1-xor_adversary-207bf186e8c67f96
B8_G128_xor2,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_xor2-stream-778c0c9045e7af87
B8_G128_xor2,stride,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_xor2-stride-b0662c2b7551e57c
B8_G128_xor2,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G128_xor2-xor_adversary-359d3fbc261eaa9a
B8_G128_xor3,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G128_xor3-stream-4cbf85bda8735226
B8_G128_xor3,stride,mapping,PASS,41,390.095,34,0.380952,0,0,3055616,132608,runs/mapping-B8_G128_xor3-stride-ebd27537d61a68af
B8_G128_xor3,xor_adversary,mapping,PASS,77,210.051,62,0.205128,0,0,3055616,132608,runs/mapping-B8_G128_xor3-xor_adversary-9fa56f3f95dcf6ed
B8_G256_modulo0,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3055616,132608,runs/mapping-B8_G256_modulo0-stream-ba670bf12b6c6858
B8_G256_modulo0,stride,mapping,PASS,77,210.051,62,0.205128,0,0,3055616,132608,runs/mapping-B8_G256_modulo0-stride-b457455baf092fca
B8_G256_modulo0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G256_modulo0-xor_adversary-ff4c32bc5f55e4d6
B8_G256_xor0,stream,mapping,PASS,28,564.966,14,0.551724,0,0,3055616,132608,runs/mapping-B8_G256_xor0-stream-d1cc667d5dbacfbd
B8_G256_xor0,stride,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G256_xor0-stride-ddc31248c8968eae
B8_G256_xor0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G256_xor0-xor_adversary-a7135b3b4e5ac714
B8_G256_xor1,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3055616,132608,runs/mapping-B8_G256_xor1-stream-e6ff8426e73492ed
B8_G256_xor1,stride,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G256_xor1-stride-bdd63be95c1c742c
B8_G256_xor1,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G256_xor1-xor_adversary-18bdcf6e7539afe8
B8_G256_xor2,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3055616,132608,runs/mapping-B8_G256_xor2-stream-2f7225e55a70def7
B8_G256_xor2,stride,mapping,PASS,27,585.143,15,0.571429,0,0,3055616,132608,runs/mapping-B8_G256_xor2-stride-6dd91b0b3cc419e6
B8_G256_xor2,xor_adversary,mapping,PASS,77,210.051,62,0.205128,0,0,3055616,132608,runs/mapping-B8_G256_xor2-xor_adversary-dcda53bb310bd2f9
B8_G256_xor3,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3055616,132608,runs/mapping-B8_G256_xor3-stream-31c31aa9d74aaefb
B8_G256_xor3,stride,mapping,PASS,44,364.089,31,0.355556,0,0,3055616,132608,runs/mapping-B8_G256_xor3-stride-773a8f3d2ee26ec2
B8_G256_xor3,xor_adversary,mapping,PASS,43,372.364,28,0.363636,0,0,3055616,132608,runs/mapping-B8_G256_xor3-xor_adversary-a839b85022764624
B8_G512_modulo0,stream,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G512_modulo0-stream-87c65bde71162476
B8_G512_modulo0,stride,mapping,PASS,44,364.089,29,0.355556,0,0,3055616,132608,runs/mapping-B8_G512_modulo0-stride-894d282a75771dae
B8_G512_modulo0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G512_modulo0-xor_adversary-fecf90b199a2aec8
B8_G512_xor0,stream,mapping,PASS,29,546.133,15,0.533333,0,0,3055616,132608,runs/mapping-B8_G512_xor0-stream-60b9b2d23cb323ab
B8_G512_xor0,stride,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G512_xor0-stride-117a5572435944fe
B8_G512_xor0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G512_xor0-xor_adversary-8f80cd7d4929673f
B8_G512_xor1,stream,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G512_xor1-stream-75f2e8151beb9056
B8_G512_xor1,stride,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G512_xor1-stride-6a4c584437eb8967
B8_G512_xor1,xor_adversary,mapping,PASS,77,210.051,62,0.205128,0,0,3055616,132608,runs/mapping-B8_G512_xor1-xor_adversary-eae5c838b338269d
B8_G512_xor2,stream,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G512_xor2-stream-7bd7c221f413bf77
B8_G512_xor2,stride,mapping,PASS,29,546.133,16,0.533333,0,0,3055616,132608,runs/mapping-B8_G512_xor2-stride-4990905b2b75824c
B8_G512_xor2,xor_adversary,mapping,PASS,43,372.364,28,0.363636,0,0,3055616,132608,runs/mapping-B8_G512_xor2-xor_adversary-9198c2e7c630ec89
B8_G512_xor3,stream,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G512_xor3-stream-6343658e47a2034c
B8_G512_xor3,stride,mapping,PASS,39,409.6,23,0.4,0,0,3055616,132608,runs/mapping-B8_G512_xor3-stride-97b22be4fbb71fe5
B8_G512_xor3,xor_adversary,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G512_xor3-xor_adversary-82e866f1b966e805
B8_G2048_modulo0,stream,mapping,PASS,39,409.6,25,0.4,0,0,3055616,132608,runs/mapping-B8_G2048_modulo0-stream-08790c7364d522e5
B8_G2048_modulo0,stride,mapping,PASS,27,585.143,14,0.571429,0,0,3055616,132608,runs/mapping-B8_G2048_modulo0-stride-5b181a3e9793e46f
B8_G2048_modulo0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3055616,132608,runs/mapping-B8_G2048_modulo0-xor_adversary-3df7b3aa891295c6
B8_G2048_xor0,stream,mapping,PASS,39,409.6,25,0.4,0,0,3055616,132608,runs/mapping-B8_G2048_xor0-stream-d334df06b534dd10
B8_G2048_xor0,stride,mapping,PASS,28,564.966,15,0.551724,0,0,3055616,132608,runs/mapping-B8_G2048_xor0-stride-a50baa493f3d5589
B8_G2048_xor0,xor_adversary,mapping,PASS,43,372.364,28,0.363636,0,0,3055616,132608,runs/mapping-B8_G2048_xor0-xor_adversary-7c5c9aa5cf5b5e52
B8_G2048_xor1,stream,mapping,PASS,39,409.6,25,0.4,0,0,3055616,132608,runs/mapping-B8_G2048_xor1-stream-37ead9f0a290338c
B8_G2048_xor1,stride,mapping,PASS,28,564.966,18,0.551724,0,0,3055616,132608,runs/mapping-B8_G2048_xor1-stride-15e047d31736784f
B8_G2048_xor1,xor_adversary,mapping,PASS,25,630.154,10,0.615385,0,0,3055616,132608,runs/mapping-B8_G2048_xor1-xor_adversary-43048d78d222bd95
B8_G2048_xor2,stream,mapping,PASS,39,409.6,25,0.4,0,0,3055616,132608,runs/mapping-B8_G2048_xor2-stream-fa8444c7334205f3
B8_G2048_xor2,stride,mapping,PASS,27,585.143,14,0.571429,0,0,3055616,132608,runs/mapping-B8_G2048_xor2-stride-9f222a613eb8c7b3
B8_G2048_xor2,xor_adversary,mapping,PASS,33,481.882,21,0.470588,0,0,3055616,132608,runs/mapping-B8_G2048_xor2-xor_adversary-8e5f9c88fa52b666
B8_G2048_xor3,stream,mapping,PASS,39,409.6,25,0.4,0,0,3055616,132608,runs/mapping-B8_G2048_xor3-stream-2d6634bb2981f272
B8_G2048_xor3,stride,mapping,PASS,27,585.143,14,0.571429,0,0,3055616,132608,runs/mapping-B8_G2048_xor3-stride-e32ffda20d257d4a
B8_G2048_xor3,xor_adversary,mapping,PASS,46,348.596,32,0.340426,0,0,3055616,132608,runs/mapping-B8_G2048_xor3-xor_adversary-62796deced71d206
B16_G16_modulo0,stream,mapping,PASS,76,212.779,61,0.831169,0,0,3325952,322560,runs/mapping-B16_G16_modulo0-stream-6ace746ee32f6f1c
B16_G16_modulo0,stride,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_modulo0-stride-19c141e9065b9fb2
B16_G16_modulo0,xor_adversary,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_modulo0-xor_adversary-4512becf98bb8508
B16_G16_xor0,stream,mapping,PASS,80,202.272,65,0.790123,0,0,3325952,322560,runs/mapping-B16_G16_xor0-stream-4b63b4aab4c10dae
B16_G16_xor0,stride,mapping,PASS,86,188.322,69,0.735632,0,0,3325952,322560,runs/mapping-B16_G16_xor0-stride-be759cd1adf91aaf
B16_G16_xor0,xor_adversary,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_xor0-xor_adversary-e2e2fa2a251d9b48
B16_G16_xor1,stream,mapping,PASS,82,197.398,66,0.771084,0,0,3325952,322560,runs/mapping-B16_G16_xor1-stream-ea1dc2af5209b64b
B16_G16_xor1,stride,mapping,PASS,82,197.398,66,0.771084,0,0,3325952,322560,runs/mapping-B16_G16_xor1-stride-a3a44f607d611e6a
B16_G16_xor1,xor_adversary,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_xor1-xor_adversary-335aa42d38bebec0
B16_G16_xor2,stream,mapping,PASS,80,202.272,65,0.790123,0,0,3325952,322560,runs/mapping-B16_G16_xor2-stream-fe4f6686532c3938
B16_G16_xor2,stride,mapping,PASS,78,207.392,62,0.810127,0,0,3325952,322560,runs/mapping-B16_G16_xor2-stride-fd9d58ae6c6fe6ae
B16_G16_xor2,xor_adversary,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_xor2-xor_adversary-def71b9d15261c23
B16_G16_xor3,stream,mapping,PASS,78,207.392,63,0.810127,0,0,3325952,322560,runs/mapping-B16_G16_xor3-stream-8c4642f75bdea191
B16_G16_xor3,stride,mapping,PASS,73,221.405,58,0.864865,0,0,3325952,322560,runs/mapping-B16_G16_xor3-stride-de296f7a43ae157a
B16_G16_xor3,xor_adversary,mapping,PASS,140,116.199,123,0.453901,0,0,3325952,322560,runs/mapping-B16_G16_xor3-xor_adversary-2c07af1b3a080906
B16_G32_modulo0,stream,mapping,PASS,42,381.023,27,0.744186,0,0,3325952,322560,runs/mapping-B16_G32_modulo0-stream-da2643dd4ee550b9
B16_G32_modulo0,stride,mapping,PASS,138,117.871,121,0.230216,0,0,3325952,322560,runs/mapping-B16_G32_modulo0-stride-b7c4d90403d44e4c
B16_G32_modulo0,xor_adversary,mapping,PASS,138,117.871,121,0.230216,0,0,3325952,322560,runs/mapping-B16_G32_modulo0-xor_adversary-c6d55a04cb4a935e
B16_G32_xor0,stream,mapping,PASS,44,364.089,29,0.711111,0,0,3325952,322560,runs/mapping-B16_G32_xor0-stream-b644f096c84e5600
B16_G32_xor0,stride,mapping,PASS,46,348.596,31,0.680851,0,0,3325952,322560,runs/mapping-B16_G32_xor0-stride-38ed9ce4f5e73a23
B16_G32_xor0,xor_adversary,mapping,PASS,138,117.871,121,0.230216,0,0,3325952,322560,runs/mapping-B16_G32_xor0-xor_adversary-f79920324207fd42
B16_G32_xor1,stream,mapping,PASS,44,364.089,28,0.711111,0,0,3325952,322560,runs/mapping-B16_G32_xor1-stream-3d9a8d7be2365fa3
B16_G32_xor1,stride,mapping,PASS,44,364.089,28,0.711111,0,0,3325952,322560,runs/mapping-B16_G32_xor1-stride-121b3d59c19c6682
B16_G32_xor1,xor_adversary,mapping,PASS,138,117.871,121,0.230216,0,0,3325952,322560,runs/mapping-B16_G32_xor1-xor_adversary-7160361256c34866
B16_G32_xor2,stream,mapping,PASS,44,364.089,28,0.711111,0,0,3325952,322560,runs/mapping-B16_G32_xor2-stream-075b9d777908bb58
B16_G32_xor2,stride,mapping,PASS,41,390.095,26,0.761905,0,0,3325952,322560,runs/mapping-B16_G32_xor2-stride-f95ae753dc1690fc
B16_G32_xor2,xor_adversary,mapping,PASS,138,117.871,121,0.230216,0,0,3325952,322560,runs/mapping-B16_G32_xor2-xor_adversary-8a7e16f9efa0eb08
B16_G32_xor3,stream,mapping,PASS,43,372.364,28,0.727273,0,0,3325952,322560,runs/mapping-B16_G32_xor3-stream-2d92c10c89d5977a
B16_G32_xor3,stride,mapping,PASS,77,210.051,64,0.410256,0,0,3325952,322560,runs/mapping-B16_G32_xor3-stride-13978d295573cc52
B16_G32_xor3,xor_adversary,mapping,PASS,75,215.579,60,0.421053,0,0,3325952,322560,runs/mapping-B16_G32_xor3-xor_adversary-b12af5790bac0a13
B16_G64_modulo0,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_modulo0-stream-4b8ccafb7a2390a9
B16_G64_modulo0,stride,mapping,PASS,137,118.725,120,0.115942,0,0,3325952,322560,runs/mapping-B16_G64_modulo0-stride-e3460d9b2ff03750
B16_G64_modulo0,xor_adversary,mapping,PASS,137,118.725,120,0.115942,0,0,3325952,322560,runs/mapping-B16_G64_modulo0-xor_adversary-f4068f345ccbfc71
B16_G64_xor0,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_xor0-stream-b417084f1bd0a51c
B16_G64_xor0,stride,mapping,PASS,27,585.143,14,0.571429,0,0,3325952,322560,runs/mapping-B16_G64_xor0-stride-d9dffa94d607ddd2
B16_G64_xor0,xor_adversary,mapping,PASS,137,118.725,120,0.115942,0,0,3325952,322560,runs/mapping-B16_G64_xor0-xor_adversary-0d89430a15bbea95
B16_G64_xor1,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_xor1-stream-41e579aafd8a9a7a
B16_G64_xor1,stride,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_xor1-stride-24a6766f4d92ffea
B16_G64_xor1,xor_adversary,mapping,PASS,137,118.725,120,0.115942,0,0,3325952,322560,runs/mapping-B16_G64_xor1-xor_adversary-cac0d43b21bdca0c
B16_G64_xor2,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_xor2-stream-374c3bfb3a8e1770
B16_G64_xor2,stride,mapping,PASS,41,390.095,34,0.380952,0,0,3325952,322560,runs/mapping-B16_G64_xor2-stride-2ca127c3119ec8e4
B16_G64_xor2,xor_adversary,mapping,PASS,73,221.405,58,0.216216,0,0,3325952,322560,runs/mapping-B16_G64_xor2-xor_adversary-ea4a1ad6beab9cba
B16_G64_xor3,stream,mapping,PASS,25,630.154,10,0.615385,0,0,3325952,322560,runs/mapping-B16_G64_xor3-stream-0952a0199a649799
B16_G64_xor3,stride,mapping,PASS,73,221.405,62,0.216216,0,0,3325952,322560,runs/mapping-B16_G64_xor3-stride-df885cd4988bd21f
B16_G64_xor3,xor_adversary,mapping,PASS,43,372.364,28,0.363636,0,0,3325952,322560,runs/mapping-B16_G64_xor3-xor_adversary-a9bad3664072ad2a
B16_G128_modulo0,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3325952,322560,runs/mapping-B16_G128_modulo0-stream-78c41a808c675387
B16_G128_modulo0,stride,mapping,PASS,138,117.871,122,0.115108,0,0,3325952,322560,runs/mapping-B16_G128_modulo0-stride-5fac5f96a1f5d055
B16_G128_modulo0,xor_adversary,mapping,PASS,265,61.594,248,0.0601504,0,0,3325952,322560,runs/mapping-B16_G128_modulo0-xor_adversary-15d19eedc75f050e
B16_G128_xor0,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3325952,322560,runs/mapping-B16_G128_xor0-stream-d4c8f48bd600cd7c
B16_G128_xor0,stride,mapping,PASS,28,564.966,14,0.551724,0,0,3325952,322560,runs/mapping-B16_G128_xor0-stride-daaae8c87026b837
B16_G128_xor0,xor_adversary,mapping,PASS,265,61.594,248,0.0601504,0,0,3325952,322560,runs/mapping-B16_G128_xor0-xor_adversary-aa7affb22bc5e724
B16_G128_xor1,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3325952,322560,runs/mapping-B16_G128_xor1-stream-1c8c3904b72d6eb8
B16_G128_xor1,stride,mapping,PASS,27,585.143,15,0.571429,0,0,3325952,322560,runs/mapping-B16_G128_xor1-stride-e6ef02e8b6d8346b
B16_G128_xor1,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3325952,322560,runs/mapping-B16_G128_xor1-xor_adversary-e65e15fbed4a64ee
B16_G128_xor2,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3325952,322560,runs/mapping-B16_G128_xor2-stream-2ec0714518fbe6a7
B16_G128_xor2,stride,mapping,PASS,42,381.023,37,0.372093,0,0,3325952,322560,runs/mapping-B16_G128_xor2-stride-f737f3bb149effb2
B16_G128_xor2,xor_adversary,mapping,PASS,74,218.453,60,0.213333,0,0,3325952,322560,runs/mapping-B16_G128_xor2-xor_adversary-bec1c314dac694c1
B16_G128_xor3,stream,mapping,PASS,26,606.815,11,0.592593,0,0,3325952,322560,runs/mapping-B16_G128_xor3-stream-69a20feaa50f8979
B16_G128_xor3,stride,mapping,PASS,74,218.453,63,0.213333,0,0,3325952,322560,runs/mapping-B16_G128_xor3-stride-36824cd5ebd130c3
B16_G128_xor3,xor_adversary,mapping,PASS,45,356.174,31,0.347826,0,0,3325952,322560,runs/mapping-B16_G128_xor3-xor_adversary-d1ba6bcc511da2e9
B16_G256_modulo0,stream,mapping,PASS,29,546.133,14,0.533333,0,0,3325952,322560,runs/mapping-B16_G256_modulo0-stream-78f33a26ad58aeeb
B16_G256_modulo0,stride,mapping,PASS,76,212.779,61,0.207792,0,0,3325952,322560,runs/mapping-B16_G256_modulo0-stride-dd66a442586f0e12
B16_G256_modulo0,xor_adversary,mapping,PASS,265,61.594,248,0.0601504,0,0,3325952,322560,runs/mapping-B16_G256_modulo0-xor_adversary-603b685633ff4fca
B16_G256_xor0,stream,mapping,PASS,29,546.133,14,0.533333,0,0,3325952,322560,runs/mapping-B16_G256_xor0-stream-dd4d8b27a74b19b9
B16_G256_xor0,stride,mapping,PASS,30,528.516,17,0.516129,0,0,3325952,322560,runs/mapping-B16_G256_xor0-stride-7be36bba3983c38d
B16_G256_xor0,xor_adversary,mapping,PASS,137,118.725,122,0.115942,0,0,3325952,322560,runs/mapping-B16_G256_xor0-xor_adversary-720e98e3031ca53f
B16_G256_xor1,stream,mapping,PASS,29,546.133,14,0.533333,0,0,3325952,322560,runs/mapping-B16_G256_xor1-stream-49d283472e8a6f4b
B16_G256_xor1,stride,mapping,PASS,30,528.516,18,0.516129,0,0,3325952,322560,runs/mapping-B16_G256_xor1-stride-ca0a13d23c69b24d
